iter	MultiClass
0	3.194898017
1	3.121072188
2	3.005346318
3	2.909081925
4	2.849721229
5	2.781927481
6	2.72929205
7	2.6704984
8	2.618151371
9	2.570150189
10	2.528408395
11	2.486032291
12	2.443031845
13	2.40983331
14	2.371328724
15	2.340880453
16	2.310538976
17	2.277049312
18	2.247904558
19	2.22313992
20	2.196058267
21	2.175299185
22	2.157529661
23	2.135320747
24	2.11131589
25	2.090171554
26	2.07226294
27	2.053429125
28	2.033306718
29	2.013189928
30	1.995389414
31	1.977724079
32	1.962787275
33	1.942895109
34	1.930400543
35	1.919504405
36	1.908628538
37	1.894284305
38	1.877538193
39	1.856043579
40	1.843984201
41	1.831345343
42	1.818192443
43	1.805261331
44	1.792718802
45	1.778488722
46	1.768611021
47	1.758783562
48	1.747167492
49	1.734562342
50	1.721213602
51	1.706188859
52	1.695212331
53	1.686285271
54	1.677567375
55	1.664551446
56	1.655724991
57	1.647198871
58	1.637907354
59	1.62688543
60	1.618957705
61	1.611792202
62	1.605312614
63	1.59789251
64	1.591788203
65	1.579516793
66	1.572569727
67	1.562467349
68	1.55225536
69	1.544586413
70	1.536887956
71	1.523803662
72	1.515739744
73	1.509035838
74	1.498863821
75	1.493084146
76	1.486575657
77	1.480537546
78	1.473931817
79	1.469469218
80	1.460133824
81	1.454754698
82	1.447281156
83	1.440156447
84	1.432589906
85	1.422515356
86	1.417013886
87	1.411128083
88	1.402884683
89	1.398690606
90	1.393091672
91	1.387623903
92	1.382438429
93	1.376519202
94	1.369104544
95	1.365429337
96	1.359047088
97	1.353755136
98	1.350453618
99	1.345014339
100	1.340911726
101	1.335674771
102	1.33265199
103	1.327982707
104	1.322926166
105	1.319232725
106	1.31221788
107	1.307478895
108	1.301562116
109	1.296848035
110	1.29336762
111	1.288470202
112	1.285779368
113	1.281484193
114	1.27453567
115	1.27083659
116	1.263187875
117	1.259408232
118	1.252987838
119	1.249733321
120	1.245372561
121	1.240287665
122	1.236791998
123	1.231708812
124	1.225964839
125	1.220624409
126	1.216189394
127	1.213336904
128	1.208444591
129	1.205232861
130	1.198787211
131	1.193852055
132	1.18664059
133	1.183740284
134	1.178776082
135	1.175875354
136	1.173911594
137	1.167254016
138	1.161541026
139	1.155787268
140	1.151364778
141	1.145355554
142	1.138877185
143	1.134637568
144	1.129080644
145	1.123700587
146	1.115827717
147	1.110947543
148	1.106241047
149	1.103707586
150	1.099489557
151	1.096166953
152	1.089599524
153	1.085291322
154	1.079878101
155	1.075072921
156	1.072224607
157	1.068155053
158	1.063231426
159	1.058426702
160	1.05373666
161	1.052802329
162	1.050026523
163	1.045286038
164	1.041464182
165	1.036691185
166	1.033658088
167	1.029813758
168	1.025559208
169	1.020292711
170	1.015221997
171	1.010857819
172	1.006726841
173	1.003031279
174	1.001518484
175	0.9999119363
176	0.9958509314
177	0.9928997444
178	0.9881276211
179	0.9863904243
180	0.9817017011
181	0.980336224
182	0.9773502714
183	0.9736404043
184	0.9708820324
185	0.96531515
186	0.9627808502
187	0.9572080089
188	0.9522714648
189	0.9494156332
190	0.9441733726
191	0.9417986813
192	0.9392101633
193	0.9352734833
194	0.9302205319
195	0.9266069903
196	0.9240320385
197	0.9226716414
198	0.9194761332
199	0.9157568708
200	0.9144766831
201	0.9107501858
202	0.9088076054
203	0.9043548729
204	0.8994749167
205	0.8964966427
206	0.8952454409
207	0.8925598773
208	0.8907178473
209	0.886859242
210	0.8847399458
211	0.8807512821
212	0.8762456301
213	0.8752610647
214	0.8732644719
215	0.8723821858
216	0.8717643668
217	0.8711746964
218	0.8659424939
219	0.8651615289
220	0.8642601993
221	0.8613652852
222	0.860414087
223	0.8589910543
224	0.8572554696
225	0.8557097231
226	0.853017895
227	0.8494198898
228	0.8478075622
229	0.8474935234
230	0.8440736698
231	0.842359743
232	0.8403112615
233	0.8374104135
234	0.8358496621
235	0.8355476254
236	0.8334435764
237	0.8311638085
238	0.8294657694
239	0.8280084367
240	0.8248240215
241	0.8228747895
242	0.820512652
243	0.8198835104
244	0.8172600717
245	0.8160328972
246	0.8149937109
247	0.8111836252
248	0.8098489553
249	0.8075227716
250	0.8044049149
251	0.8035119227
252	0.801083084
253	0.8002277094
254	0.7972265069
255	0.7948670645
256	0.7930769246
257	0.7924056537
258	0.7897798872
259	0.7871500801
260	0.7850932055
261	0.7824787543
262	0.7810957913
263	0.7784209755
264	0.7775770112
265	0.7747676073
266	0.7722114755
267	0.7694618213
268	0.7649294043
269	0.763947306
270	0.7630741005
271	0.761754379
272	0.7607779721
273	0.7596619272
274	0.7584906948
275	0.7582125607
276	0.7549373603
277	0.7533024285
278	0.750760294
279	0.749591885
280	0.7487544875
281	0.7468618849
282	0.7459672695
283	0.7446605871
284	0.7417341494
285	0.740071192
286	0.7378401884
287	0.7354682
288	0.734132736
289	0.7312531509
290	0.730875325
291	0.7286240765
292	0.7272394723
293	0.7250272437
294	0.7227365677
295	0.7205011509
296	0.718232159
297	0.7163088326
298	0.7144888553
299	0.712470788
